21
The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.
95
22
The flagship wine from Quilceda Creek offers exotic scents of plum, cassis, loam, coffee and pine sap, a rich and evocative blend. The wine delivers all that is promised and more; it is deep and dense with flavor, polished, focused and persistent. Vanilla, espresso, fine tannins, luscious acids and cascading fruits.
99
23
A stupendous Pinot Noir, showing how beautifully this vineyard performs in the remote Sonoma Coast above Fort Ross. Williams Selyem's last few vintages of Precious Mountain have been extraordinary, but this 2009 tops them all. The wine is as light as a feather in the mouth, modest in alcohol and delicately feminine, like pure satin. However, few Pinot Noirs in the world achieve this level of concentration. Wild raspberries and cherries, cola, sleek minerals, dusty baking spices and smoky oak combine for flavors that are utterly delicious. After all that, it possesses an indefinable attribute of fascination. Will age well for a long time, if you can keep your hands off it. Now–2021.
99
24
A massive wine for Margaux, packed with tannins and ripe fruit. It has more Cabernet Sauvignon than usual, giving intense black currant flavors with enticing acidity balanced by the sweetness of the fruit. Ripe swathes of this opulent fruit are also elegant and structured.
98
25
A beautiful wine, with the firmest tannins surrounded by perfumed fruit. It is dense, of course, but this density is balanced with great elegance, blackberry fruits, sweetness and final juicy acidity. The wine is structured, a powerhouse of concentration while preserving this complete style.
98
26
A stunning Pirouette—63% Cabernet Sauvignon, 22% Merlot, 9% Cab Franc and 6% Petit Verdot. Full and magnificently rich, it is loaded with dense and thrilling fruit flavors of black cherry and cassis. A streak of iron and a hint of citrus keep the wine evolving through a long, beautifully balanced finish. Retasted after being open for 24 hours, the wine was as fresh and thrilling as on the first day.
98
27
Here's a “wow” wine on every level, with incredible intensity and supple softness that builds momentum over many long minutes. A sweet cherry note at the core is surrounded by lush layers of tobacco, dark chocolate and spice, which promise to evolve gracefully over years to come.
98
28
A very concentrated wine with such a stylish feel. It balances ripe berry fruits with chocolate and wood flavors in the richest, ripest combination. The wine has power, without losing its poised character. It's ready for long aging.
97
29
Recently implemented winemaker and cellar changes make this one of the best Sassicaias ever. This Cabernet Sauvignon-Cabernet Franc blend delivers thick concentration and sun-kissed aromas of black fruit, prune, dried bay leaf, black olive and tobacco. The thick, fertile soils that characterize the magical strip of coastal Tuscany at Bol-gheri help shape amazing richness and intensity.
97
30
The 2008 Ornellaia delivers concentrated aromas of forest fruit, raspberry and black cherry. There are beautiful elements of soft spice and chocolate at the back and the wine ends with soft, plush tannins and smooth, berry-rich flavors.
97
31
An outstanding wine, the best California Cabernet Jean-Charles Boisset has ever produced from any of his properties. It stands out in any tasting of its peers. Made from 100% Cabernet Sauvignon, and aged in 60% new oak, it shows satisfying, complex flavors of blackberries, blueberries, cassis, hazelnut-infused chocolate and spices. Hard to exaggerate its power and grace. Wonderful now and for a good six years, but it's difficult to predict its evolution beyond 2018.
97
32
Such a generous and ripe wine, with a dark core of tannins surrounded by opulent fruit. Black fruits, coffee, very concentrated flavors, a powerhouse of structure and richness. The warmth of the wine is palpable, as is the aging potential.
97
33
A drop-dead gorgeous Pinot Noir that will satisfy everyone from Burgundy fans to diehard Cabernet cultists. Show an elegant complexity and silky texture that define great California Pinot Noir, yet with a powerful impact that emphasizes raspberries, cherries and blueberries. Brilliant acidity and tannins provide the perfect framework on this wine that's drinkable now, and will develop over the next 15–20 years.
97
34
A ripe year like 2009 is kind to the Cabernet Sauvignon of Château Figeac. The wine is perfumed with new wood and sweet fruits, delicious black currant flavors giving both ripeness and freshness. The wine has weight and impressive density. A star of the vintage.
96
35
An immensely structured wine, packed with dark tannins promising aging potential. It is complex, powerful, layered with new wood and concentration, finishing with dark plum fruits and acidity.
96
36
Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now.
96
37
Solid, very structured, packed with dense and dry tannins. There is a core of acidity and darkness that gives the wine a brooding, powerful character. At this stage, it seems austere although it does have the weight of fruit typical of the year.
96
38
A dense, immense, solidly powerful wine. The ripest fruit overflows, paralleling the dark, solid tannins. As so often, Lynch-Bages is a blockbuster, dark and concentrated, with immense aging potential.
96
39
A huge Cabernet, in the best sense of the word. It wasn't the easiest vintage, as 2007 was, but meticulous winemaking did the job, resulting in this amazingly rich, impressively ripe wine that's drinkable now and will develop for many years. The fruits veer toward blackberries, cherries and cola, and the tannins are soft and refined. One hundred percent new French oak isn't at all heavy, lending nuances of buttered toast and sweet wood tannins. Will easily age for 15 years.
96
40
The purest Cabernet Sauvignon fruit, with dark chocolate and intense dark berry flavors. The tannins are so enveloped by the fruit and yet they promise great aging. At this stage, wood shows through the fruit, but the texture is so rich and opulent that it should easily become integrated.
96
41
Beneath the surface tannins is great Merlot fruit, very ripe and full-bodied, a powerhouse of flavors. The depth and complexity of the wine is all there, along with a dark core of dryness. A wine for long-term aging.
96
42
A triumph, one of the greatest Riverblock bottings in years. This always is a captivating wine, but the '09 is particularly scrumptious. Although it's quite tannic and acidic, it's forward enough in raspberries, cherries and cola to enjoy now. But it's bone dry and as elegant as California Pinot Noir gets. The balance suggests an ability to age for a good 10 years, if not longer.
96
43
Minty new wood aromas on a wine that shows both great tannins and sweet wood. The fruit is still to show, but promises fresh plum flavors that will be delicious and juicy. This is a ripe, concentrated wine.
96
44
A sip is all it takes to fall in love with this potent Pinot Noir. Big tannins and crisp acidity make it hard to appreciate now, but there's a gigantic core of cherries and raspberries, with a firm minerality from the soil. Will develop bottle complexity over the years. Don't even think of popping the cork before 2015.
95
45
